"brands","company","product","price","brief","newest time","oldest time","if Kontakt"
"Best Service","Best Service","TITAN 2","$199.00","Titan 2 offers 266 Synthesizer models in one","2016","2015","0"
"Best Service","Best Service","Era II Medieval Legends Upgrade","$99.00","Upgrade from ERA to ERA II Medieval Legends","no reviews","no reviews","0"
"Best Service","Best Service","Klanghaus 2","$259.00","Collection of unique instruments, grooves and loops","2016","2015","0"
"Best Service","Best Service","Klanghaus 2 Upgrade","$19.00","Upgrade from Klanghaus to Klanghaus 2","no reviews","no reviews","0"
"Best Service","Best Service","Voyager Drums","$99.00","New Power Drums from the maker of ""Artist Drums""","2015","2015","0"
"Best Service","Best Service","ERA II  Medieval Legends","$259.00","A huge set of historical instruments","2016","2012","0"
"Best Service","Best Service","Whistler","$19.99","A virtual human whistler with real samples","no reviews","no reviews","1"
"Best Service","Best Service","Mystica","$199.00","Classical female chamber choir library by Eduardo Tarilonte","2014","2014","1"
"Best Service","Best Service","Galaxy X-Keys","$115.00","Convolution Synthesizer,  tonally playable instruments","no reviews","no reviews","0"
"Best Service","Best Service","Galaxy X-FX","$95.00","Convolution Synthesizer featuring all kinds of effect sounds","no reviews","no reviews","0"
"Best Service","Best Service","Galaxy X-Loops","$95.00","Convolution Synthesizer, hundreds of special effect loops","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box Mark III Upgrade","$99.00","Upgrade from Studio Box Mark II to Mark III","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box Mark III","$399.00","10.000 foley sound effects and ambiences","2017","2010","0"
"Best Service","Best Service","Chris Hein Winds Complete","$399.00","The most complete orchestral Woodwind instrument library","2016","2014","1"
"Best Service","Best Service","Chris Hein Winds Vol 1 - Flutes","$139.00","The most complete orchestral Flute instrument library","2014","2014","1"
"Best Service","Best Service","Chris Hein Winds Vol 2 - Clarinets","$139.00","The most complete orchestral clarinet instrument library","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Winds Vol 3 - Oboes","$139.00","The most complete orchestral oboe instrument library","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Winds Vol 4 - Bassoons","$139.00","The most complete orchestral Bassoon instrument library","no reviews","no reviews","1"
"Best Service","Best Service","Altus","$159.00","Real counter tenor as a virtual instrument","2014","2014","1"
"Best Service","Best Service","Cantus","$199.00","Real Gregorian Choir as a virtual instrument","2014","2014","1"
"Best Service","Best Service","Chris Hein Chromatic Harmonica","$139.00","The ultimate chromatic harmonica","2014","2014","1"
"Best Service","Best Service","Shevannai","$159.00","Unique solo vocal library, produced by Eduardo Tarilonte","2014","2013","1"
"Best Service","Best Service","Foley Stage","$895.00","Huge Sound FX library for film-, game- and music production","no reviews","no reviews","0"
"Best Service","Best Service","Complete Orchestral Collection","$189.00","Complete Classical Orchestra for a budget price","2014","2013","1"
"Best Service","Best Service","Forest Kingdom II","$259.00","The sound of forests and jungles, the sound of Mother Nature","2013","2011","0"
"Best Service","Best Service","Cinematique Instruments 2","$199.00","Cinamtatic library with unique instruments","2013","2013","0"
"Best Service","Best Service","Chris Hein Horns Pro Complete","$649.00","Brass & Woodwinds library for Jazz, Pop, Big-Band, Funk","2013","2009","1"
"Best Service","Best Service","Peking Opera Percussion","$129.00","Drum and percussion instruments used in Chinese Opera","2012","2012","0"
"Best Service","Best Service","Galaxy X","$259.00","X is an exeptional Convolution Synthesizer","2012","2012","0"
"Best Service","Best Service","Desert Winds","$119.00","Exotic soundscapes with oriental Wind instruments","2016","2011","0"
"Best Service","Best Service","Chris Hein Horns Compact","$189.00","Brass & Woodwinds library for Jazz, Pop, Big-Band, Funk","2013","2011","1"
"Best Service","Best Service","SYNTH-WERK","$159.00","SOUND•SYNTHESIS•RHYTHM  PAST•PRESENT•FUTURE","2011","2011","0"
"Best Service","Best Service","Epic World","$199.00","Epic World - Cinematic Landscapes by Eduardo Tarilonte","2012","2011","0"
"Best Service","Best Service","Galaxy II Pianos","$259.00","Three outstanding grand pianos in one library","2010","2007","1"
"Best Service","Best Service","Cinematique Instruments 1","$199.00","Cinematic library with unique instruments","2013","2010","0"
"Best Service","Best Service","Galaxy Vintage D","$139.00","A legendary grand piano, at a budget price","2010","2010","1"
"Best Service","Best Service","Klanghaus Bio Machine Crossgrade","$59.00","Klanghaus Bio Machine Crossgrade","no reviews","no reviews","0"
"Best Service","Best Service","Organum Venezia","$89.00","Virtual church organ with a characteristic sound","2016","2015","0"
"Best Service","Best Service","Phantom Files Vol. 2","$49.00","Unique musical fragments, FX and grooves!","2014","2014","1"
"Best Service","Best Service","Nitron","$159.00","Sample based Synthesizer, over 1000 patches, full editing","2012","2012","1"
"Best Service","Best Service","Galaxy II German Baby Grand","$115.00","Single Piano from the famous Galaxy II K4 Piano collection.","no reviews","no reviews","1"
"Best Service","Best Service","Galaxy II Steinway","$115.00","Single Piano from the famous Galaxy II K4 Piano collection.","no reviews","no reviews","1"
"Best Service","Best Service","Galaxy II Vienna Grand","$115.00","Single Piano from the famous Galaxy II K4 Piano Collection","no reviews","no reviews","1"
"Best Service","Best Service","Gu Zheng","$129.00","Gu Zheng, recorded by local Chinese music producers","2011","2011","0"
"Best Service","Best Service","Chris Hein Bass","$189.00","Six exceptional noble bass instruments professinally sampled","2008","2008","1"
"Best Service","Best Service","Drums Overkill","$159.00","More than 27000 various DRUM & PERCUSSION sounds","2007","2007","1"
"Best Service","Best Service","Chris Hein Guitars","$189.00","7 Guitars, professionally sampled in one virtual instrument","2016","2007","1"
"Best Service","Best Service","Psy - FX","$89.00","over 900 sfx samples, mystic, spherical, events and impacts","no reviews","no reviews","no requirement"
"Best Service","Best Service","Chris Hein Solo Violin Update","$49.00","Update for all registered Users of Chris Hein Solo Violin","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Winds Complete Upgrade","$289.00","Upgrade for registered users of Chris Hein Winds Compact","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Orchestral Brass Complete Upgrade","$189.00","Upgrade for users of Chris Hein Orchestral Brass Compact","no reviews","no reviews","1"
"Best Service","Best Service","Voyager Drums LE","$61.00","LITE Version of Voyager Drums by Best Service","no reviews","no reviews","0"
"Best Service","Best Service","TITAN 2 Upgrade","$119.00","Upgrade for registered users of TITAN (1)","no reviews","no reviews","0"
"Best Service","Best Service","ERA II Poster","$20.00","Hi quality ERA II Poster DIN A1","no reviews","no reviews","no requirement"
"Best Service","Best Service","Production Tools Vol. 8","$69.00","Construction Kits for Progressive House, Electro & Trance","2014","2014","1"
"Best Service","Best Service","Production Tools Vol. 7","$69.00","Progressive House, Electro and Trance Kits","no reviews","no reviews","1"
"Best Service","Best Service","Production Tools Vol. 6","$69.00","35 Electro House / Progressive House und Tech House kits","no reviews","no reviews","1"
"Best Service","Best Service","Production Tools Vol. 5","$69.00","35 Progressive / Trance / Tech Trance Production Tool Kits","2012","2012","1"
"Best Service","Best Service","HipHop & RnB Producer Pack 2","$49.00","The ultimate tool for urban productions","no reviews","no reviews","1"
"Best Service","Best Service","Production Effects Vol.1","$69.00","Effects collection, xplosions, hits, up- and ownsweeps a.s.o","2011","2011","1"
"Best Service","Best Service","K-Size Electro Edition","$49.00","Over 2500 Sounds für House, Techhouse, Progressive..","2011","2011","1"
"Best Service","Best Service","Production Tools Vol. 4","$69.00","35 Production Kits for Electro/Tech House, Progressive House","2011","2011","1"
"Best Service","Best Service","K-Size Engine Edition","$139.00","Four K-Size libraries in one pack","no reviews","no reviews","0"
"Best Service","Best Service","K-Size NoKick","$49.00","1500 loops for Electro-House, Minimal, Techhouse...","no reviews","no reviews","1"
"Best Service","Best Service","K-Size FX Edition","$49.00","1400 SoundFX, Atmos, DownSweeps, Hits, Impacts...","no reviews","no reviews","1"
"Best Service","Best Service","Production Tools Vol. 3","$69.00","35 Production Kits for Electro, Tech House,Progressive House","no reviews","no reviews","1"
"Best Service","Best Service","Production Tools Vol. 2","$69.00","35 Production Kits for Electro, Tech House,Progressive House","2010","2009","1"
"Best Service","Best Service","K-Size Minimal Edition","$49.00","2800 Hi-Quality CLUB Loops and Sounds","2010","2009","1"
"Best Service","Best Service","K-Size Techhouse Edition","$49.00","More than 2800 Techhouse sounds und loops","2010","2010","1"
"Best Service","Best Service","Production Tools Vol. 1","$69.00","35 Production Kits, Electro / Tech House / Progressive House","2009","2009","1"
"Best Service","Best Service","Convolution Space","$199.00","An entirely new region of the sound universe, 8.5 GB package","2011","2008","1"
"Best Service","Best Service","Notre Dame de Budapest","$229.00","Two symphonic organs from two famous Hungarian cathedrals","2007","2004","1"
"Best Service","Best Service","FX PAC","$259.00","Sound effects library,  WAV/Audio, 3900 samples","no reviews","no reviews","no requirement"
"Best Service","Best Service","Red Box","$259.00","Sound effects library, human and nature, 5 CDs, WAV/Audio","no reviews","no reviews","no requirement"
"Best Service","Best Service","Spiritual Voices","$49.00","Magic authentic ethno vocal collection from India and Africa","no reviews","no reviews","0"
"Best Service","Best Service","Black Box 8 CD-Set","$159.00","Cinematic sound effects library, 8 CDs, WAV/Audio","2000","2000","no requirement"
"Best Service","Best Service","Blue Box 16 CD-Set","$259.00","Sound FX Library, Human and Nature, 2000 Wav sounds","no reviews","no reviews","no requirement"
"Best Service","Best Service","Accordions 2 Upgrade","$79.00","Upgrade for all registered Accordions Users","no reviews","no reviews","1"
"Best Service","Best Service","Phantom Files Vol. 1 + 2 Bundle","$79.00","Collection of unique sounds in a bundle","no reviews","no reviews","1"
"Best Service","Best Service","Toxic Guitars Bundle","$89.00","Bundle of Toxic Guitars Vol.1 and Toxic Guitars Vol.2","no reviews","no reviews","1"
"Best Service","Best Service","Toxic Soundslave","$59.00","Sound collection for games, movie and sounddesign","no reviews","no reviews","no requirement"
"Best Service","Best Service","Toxic Guitars Vol.2","$59.00","250 Samples of freaky guitar sounds, licks and efffects","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Horns Compact Crossgrade","$99.00","Crosgrade for registered useres of CHH 1,2,3 or 4","no reviews","no reviews","1"
"Best Service","Best Service","Modern Pop","$49.00","Loops and Samples for Pop, Lounge, Chillout and New Wave","2011","2011","1"
"Best Service","Best Service","Blazin RnB & HipHop Collection Vol. 3","$49.00","Loops and samples for HipHop & RnB","2011","2011","1"
"Best Service","Best Service","Electronic Drums Vol. 1","$69.00","Electronic & synthetic drum sounds for club-sound","2010","2010","1"
"Best Service","Best Service","Dancehall Vibes Vol. 2","$49.00","30 construction kits, over 1000 loops and samples","no reviews","no reviews","1"
"Best Service","Best Service","Black Pearl","$49.00","35 construction kits, loops and samples for Hip Hop & RnB","2009","2009","1"
"Best Service","Best Service","Certified Hits","$49.00","5000 unique, production-ready drums & fx","2010","2010","1"
"Best Service","Best Service","Diamonds Of Orient","$49.00","Oriental Percussion Construction Kits & Instrument loops","2009","2009","1"
"Best Service","Best Service","Club Revolution Vol. 1","$49.00","A complex sample collection with 2700 premium club sounds","2008","2008","no requirement"
"Best Service","Best Service","Reggaeton meets Dancehall Vol. 1","$49.00","Huge collection of amazin’ loops and impressive samples","2009","2009","1"
"Best Service","Best Service","Synthation Producer´s Collection Vol. 2","$49.00","350 trendy audio loops + 1000 club-tested single drums","no reviews","no reviews","1"
"Best Service","Best Service","HipHop & RnB Producer Pack 1","$49.00","1700 samples and loops for Hip Hop and RnB","no reviews","no reviews","1"
"Best Service","Best Service","Toxic Guitars Vol.1","$49.00","Heavy guitar for electro, breakbeat, drum´n bass productions","no reviews","no reviews","1"
"Best Service","Best Service","Blazin RnB & HipHop Collection Vol. 2","$49.00","30 construction kits for RnB and Hip Hop","no reviews","no reviews","1"
"Best Service","Best Service","Synthation Producer`s Collection","$49.00","A new milestone for innovative club music production","2008","2008","1"
"Best Service","Best Service","Hardstyle Samples Vol. 2","$49.00","Hardstyle Collection of new unique sounding synths & vocals","no reviews","no reviews","1"
"Best Service","Best Service","Dancehall Vibes Vol.1","$49.00","30 Dancehall Construction Kits","2007","2007","1"
"Best Service","Best Service","Chris Hein Guitars - E-Guitar Clean Add-On","$49.00","Detailed sampled Clean Electric Guitar as an Add-on","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Guitars - Jazz-Guitar","$59.00","Detailed sampled Jazz Guitar","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Guitars - Jazz-Guitar Add-On","$49.00","","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Guitars - Steel String Guitar","$59.00","Detailed sampled Steel String Acoustic Guitar","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Guitars - Steel String Guitar Add-On","$49.00","Detailed sampled Steel String Acoustic Guitar as an Add-on","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Guitars - Nylon-Guitar","$59.00","Detailed sampled Nylon Guitar","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Guitars - Nylon-Guitar Add-On","$49.00","Detailed sampled Nylon Guitar as an Add-on","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Guitars - Banjo","$59.00","Detailed sampled Banjo","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Guitars - Banjo Add-On","$49.00","Detailed sampled Banjo as an Add-On","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Guitars - Mandolin","$59.00","Detailed sampled Mandolin","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Guitars - Mandolin Add-On","$49.00","Detailed sampled Mandolin ADD-ON","no reviews","no reviews","0"
"Best Service","Best Service","Complete Urban Flava","$49.00","Certified authentic sounds of todays urban music","no reviews","no reviews","no requirement"
"Best Service","Best Service","House Definition Vol. 1","$49.00","More than 2400 high quality sound samples for House producer","no reviews","no reviews","no requirement"
"Best Service","Best Service","Chris Hein Guitars - E-Guitar Clean","$59.00","Detailed sampled Clean Electric Guitar","no reviews","no reviews","1"
"Best Service","Best Service","Studio India","$49.00","Fresh Vocals (male/female), Indian Instruments & Atmos","no reviews","no reviews","1"
"Best Service","Best Service","AD FX","$89.00","Sounds and SFX for advertising, trailers and jingles.","2001","2001","no requirement"
"Best Service","Best Service","World Colours","$89.00","An outstanding world instrument & percussion tool","no reviews","no reviews","no requirement"
"Best Service","Best Service","X-FX","$89.00","Best SFX for professional use in commercials","no reviews","no reviews","no requirement"
"Best Service","Best Service","Voyager Drums Upgrade","$39.00","Upgrade to Voyager Drums Full Version","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Weather","$19.00","Studio Box SFX - Weather","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Water 2","$19.00","Studio Box SFX - Water 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Water 1","$19.00","Studio Box SFX - Water 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Voices","$19.00","Studio Box SFX - Voices","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Transportation 2","$19.00","Studio Box SFX - Transportation 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Transportation 1","$19.00","Studio Box SFX - Transportation 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Sports","$19.00","Studio Box SFX - Sports","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Marine","$19.00","Studio Box SFX - Marine","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Machines 2","$19.00","Studio Box SFX - Machines 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Machines 1","$19.00","Studio Box SFX - Machines 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Human Surroundings 2","$19.00","Studio Box SFX - Human Surroundings 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Human Surroundings 1","$19.00","Studio Box SFX - Human Surroundings 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX House","$19.00","Studio Box SFX - House","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Fire, Guns, Explosions","$19.00","Studio Box SFX - Fire, Guns, Explosions","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Fantasy 4","$19.00","Studio Box SFX - Fantasy 4","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Fantasy 3","$19.00","Studio Box SFX - Fantasy 3","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Fantasy 2","$19.00","Studio Box SFX - Fantasy 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Fantasy 1","$19.00","Studio Box SFX - Fantasy 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Cartoon and short FX","$19.00","Studio Box SFX - Cartoon & short FX","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX  Cars and Motors 2","$19.00","Studio Box SFX - Cars and Motors","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Cars and Motors 1","$19.00","Studio Box SFX - Cars and Motors 1","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Aviation","$19.00","Studio Box SFX - Aviation","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Animals 2","$19.00","Sound FX - animals 2","no reviews","no reviews","0"
"Best Service","Best Service","Studio Box SFX Animals 1","$19.00","Sound FX - Animals 1","no reviews","no reviews","0"
"Best Service","Best Service","Phantom Files","$49.00","An inspiring soundsource for all musicians","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Horns Pro Complete Update","$149.00","Update for registered users","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Horns Pro Complete Upgrade","$349.00","Upgrade for registered users","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Horns Pro Complete Crossgrade","$499.00","Crossgrade for registered users","no reviews","no reviews","1"
"Best Service","Best Service","Translator Professional","$128.02","Translator Professional, Sample Format Konverter.","no reviews","no reviews","no requirement"
"Best Service","Best Service","Forest Kingdom II Upgrade","$99.00","Upgrade from Forest Kingdom to version II","no reviews","no reviews","0"
"Best Service","Best Service","Ethno World 6 Poster","$20.00","Ethno World 6 Poster","no reviews","no reviews","no requirement"
"Best Service","Best Service","Complete Orchestral Collection Upgrade","$99.00","for registered users of best Service CCC OR SE","no reviews","no reviews","1"
"Best Service","Best Service","Complete Orchestral Collection Update","$19.00","For registered Users of Best Service CCC AND SE","no reviews","no reviews","1"
"Best Service","Best Service","Service Fee","$5.00","Service Fee","no reviews","no reviews","no requirement"
"Best Service","Best Service","MediaPack Hard Drive","$49.00","Service hard drive including data back-up","no reviews","no reviews","0"
"Best Service","Best Service","MediaPack USB Flashdrive","$8.00","Service Flashdrive including data back-up","no reviews","no reviews","0"
"Best Service","Best Service","Action Cutz","$89.00","SFX material for ""hollywood like"" sound productions","no reviews","no reviews","0"
"Best Service Gift-Voucher","Best Service Gift-Voucher","Vienna Library voucher","$300.00","Vienna Library € 100 Vouchers: Buy 3, Get 1 Free!","no reviews","no reviews","no requirement"
"Best Service Gift-Voucher","Best Service Gift-Voucher","Geschenkgutschein / Gift-Voucher","$49.62","The Best Service Gift Voucher","no reviews","no reviews","no requirement"
"Synthogy","Synthogy","Ivory II American Concert D","$149.00","Unique Steinway D piano, exceptinally pure and clear tone","2013","2012","0"
"Synthogy","Synthogy","Ivory II Upright Pianos","$249.00","Classic collection of 4 different virtual Upright Pianos","2011","2011","0"
"Synthogy","Synthogy","Ivory II Italian Grand","$129.00","Extraordinary remarkable Italian 10 Foot Concert Grand Piano","2009","2007","0"
"Synthogy","Synthogy","Ivory II Grand Pianos","$299.00","Virtual Piano collection with 3 excellent Grand Pianos","2013","2009","0"
"Synthogy","Synthogy","Ivory II Studio Grands","$249.00","Two exceptional Studio Grands","2017","2017","0"
"Synthogy","Synthogy","Ivory II Grand Pianos Update","$129.00","Update for registeres Users of Version 1.X","no reviews","no reviews","0"
"Synthogy","Synthogy","Ivory II Italian Grand Update","$69.00","Update for registeres Users of Version 1.X","no reviews","no reviews","0"
"Synthogy","Synthogy","Ivory II Upright Pianos Update","$109.00","Update for registeres Users of Version 1.X","no reviews","no reviews","0"
"Project SAM","Project SAM","Orchestral Essentials Pack","$509.25","Bundle Containing Orchestral Essentials 1 and 2","no reviews","no reviews","1"
"Project SAM","Project SAM","Orchestral Essentials 2","$266.25","The Follow up to the much loved Original!","2015","2015","1"
"Project SAM","Project SAM","Lumina","$441.39","Phantasy world LUMINA, from the SYMPHOBIA series","2013","2013","1"
"Project SAM","Project SAM","Orchestral Essentials","$266.25","Orchestral Essentials - the essence of film scoring","2012","0114","1"
"Project SAM","Project SAM","Symphobia 2","$444.75","Add classical elements to your production, fast and easy!","2011","2011","1"
"Project SAM","Project SAM","Symphobia Bundle 1+2","$801.75","This bundle contains Symphobia and Symphobia 2","no reviews","no reviews","1"
"Project SAM","Project SAM","Symphobia","$441.39","Legendary library, adds clasical elements to your production","2010","2008","1"
"Project SAM","Project SAM","Classic Pack by projectSAM","$356.25","Reduced Classic Bundle","no reviews","no reviews","1"
"Project SAM","Project SAM","Swing! Pack","$558.75","Bundle including Swing! and Swing More!","no reviews","no reviews","1"
"Project SAM","Project SAM","Swing More!","$356.25","ProjectSAM's 2nd Jazzy Film Scoring Library","no reviews","no reviews","1"
"Project SAM","Project SAM","Master Pack 2","$2474.25","All 14 ProjectSAM Libraries","no reviews","no reviews","1"
"Project SAM","Project SAM","Versatility Pack","$489.75","Bundle containing Orchestral Essentials & Swing!","no reviews","no reviews","1"
"Project SAM","Project SAM","Fantasy Pack","$579.00","Bundle containing Lumina, Orchestrator and Concert Harp","no reviews","no reviews","1"
"Project SAM","Project SAM","Symphonic Pack","$534.00","Bundle containing Symphobia 1 and True Strike 1","no reviews","no reviews","1"
"Project SAM","Project SAM","Creative Pack","$1515.75","Bundle containing 6 Project SAM Libraries","no reviews","no reviews","1"
"Project SAM","Project SAM","Symphobia Bundle 1+3","$801.75","This bundle contains Symphobia and Lumina","no reviews","no reviews","1"
"Project SAM","Project SAM","Symphobia Bundle 2+3","$801.75","This bundle contains Symphobia 2 and Lumina","no reviews","no reviews","1"
"Project SAM","Project SAM","Swing!","$266.25","The Jazzy Film Scoring Library: Swing!","2015","2015","1"
"Project SAM","Project SAM","Symphobia Trio Pack","$1113.75","This bundle consists of Symphobia, Symphobia 2 and Lumina","no reviews","no reviews","1"
"Project SAM","Project SAM","Concert Harp","$88.50","Concert Harp, recorded in a warm Concert Hall Environment","no reviews","no reviews","1"
"Project SAM","Project SAM","OrganMystique","$131.75","3 Beautifully Sampled Dutch Church Organs","no reviews","no reviews","1"
"Project SAM","Project SAM","Symphobia Colours Pack","$222.00","Bundle including ANIMATOR & ORCHESTRATOR","no reviews","no reviews","1"
"Project SAM","Project SAM","Orchestrator","$132.75","Inspirational tool for orchestral production","2014","2014","1"
"Project SAM","Project SAM","Animator","$132.75","ENSEMBLES & EFFECTS FOR ANIMATION SCORING!","no reviews","no reviews","0"
"Project SAM","Project SAM","True Strike Pack","$221.25","Both TrueStrike Percussion collections in one bundle","no reviews","no reviews","1"
"Project SAM","Project SAM","True Strike 1 Orchestral Percussion","$132.75","Ultimate percussion source for film, tv and game composers","2011","2011","1"
"Project SAM","Project SAM","True Strike 2 World & Effects Percussion","$114.75","World Percussion from Japan, Africa, Turkey and Europe","2011","2010","1"
"Project SAM","Project SAM","Orchestral Brass Classic","$88.50","Classic Brass library für film, TV or game composers","no reviews","no reviews","1"
"MusicLab","MusicLab","RealGuitar 5","$199.00","Truly realistic sounding solo and accompaniment Guitars","no reviews","no reviews","0"
"MusicLab","MusicLab","RealLPC 4","$139.00","Virtual, excellent Les Paul Guitar with 1250 MIDI-Pattern","no reviews","no reviews","0"
"MusicLab","MusicLab","RealStrat 4","$139.00","Most popular Electric Guitar from the 50s till nowadays!","no reviews","no reviews","0"
"MusicLab","MusicLab","RealEight","$139.00","Virtual 8-string Electric Guitar","2015","2015","0"
"MusicLab","MusicLab","RealRick","$139.00","MusicLabs virtual Rickenbacker guitar, 6 and 12 string","2015","2014","0"
"MusicLab","MusicLab","Upgrade RealGuitar 5","$65.00","Upgrade to RealGuitar 5 from RealGuitar","no reviews","no reviews","0"
"MusicLab","MusicLab","Upgrade RealEight 4","$60.00","Upgrade from RealEight to RealEight 4","no reviews","no reviews","0"
"MusicLab","MusicLab","Upgrade RealRick 4","$60.00","Upgrade from RealRick to RealRick 4","no reviews","no reviews","0"
"MusicLab","MusicLab","Upgrade RealLPC 4","$60.00","Upgrade from RealLPC to RealLPC 4","no reviews","no reviews","0"
